USDINR Curncy,Last Price
Dates,PX_LAST
39731,48.47
39734,48.26
39735,48.08
39736,48.53
39737,48.845
39738,48.8825
39741,49.015
39742,49.0975
39743,49.295
39744,49.82
39745,49.9825
39748,49.87
39750,49.675
39752,49.4575
39755,48.6463
39756,47.735
39757,47.44
39758,47.6875
39759,47.6625
39762,47.375
39763,48.12
39764,49.2925
39766,49.01
39769,49.3375
39770,49.6475
39771,49.9925
39772,50.15
39773,50.02
39776,50.0963
39777,49.99
39778,49.435
39780,50.1075
39783,50.29
39784,50.145
39785,50.01
39786,49.85
39787,49.6
39790,49.5925
39792,49.015
39793,48.3412
39794,48.5775
39797,48.0513
39798,47.91
39799,47.6575
39800,46.95
39801,47.255
39804,48.02
39805,48.7625
39806,48.0725
39808,48.4438
39811,48.425
39812,48.48
39813,48.8025
39814,48.7675
39815,48.7525
39818,48.565
39819,48.69
39820,48.765
39822,48.255
39825,48.8425
39826,49.1225
39827,48.8225
39828,49.0175
39829,48.7975
39832,48.6513
39833,49.2325
39834,49.115
39835,49.1625
39836,49.255
39840,48.93
39841,48.93
39842,48.985
39843,48.875
39846,48.93
39847,48.8256
39848,48.8188
39849,48.78
39850,48.6913
39853,48.5762
39854,48.7425
39855,48.695
39856,48.8437
39857,48.68
39860,48.83
39861,49.6687
39862,49.975
39863,49.6225
39864,49.77
39868,49.8675
39869,49.95
39870,50.4825
39871,51.1612
39874,51.94
39875,51.97
39876,51.55
39877,51.7675
39878,51.71
39881,51.88
39884,51.86
39885,51.515
39888,51.3975
39889,51.485
39890,51.295
39891,50.39
39892,50.64
39895,50.4525
39896,50.73
39897,50.7325
39898,50.6038
39902,51.1775
39903,50.73
39905,50.35
39909,50.06
39911,50.1925
39912,50.04
39916,49.8925
39918,49.665
39919,49.7612
39920,49.865
39923,50.33
39924,50.4475
39925,50.345
39926,49.93
39927,49.8112
39930,50.2625
39931,50.52
39932,50.0925
39937,49.9075
39938,49.295
39939,49.645
39940,49.2613
39941,49.285
39944,49.51
39945,49.3275
39946,49.69
39947,49.785
39948,49.395
39951,47.9212
39952,47.775
39953,47.49
39954,47.3875
39955,47.1313
39958,47.29
39959,47.9288
39960,47.7088
39961,47.615
39962,47.0913
39965,46.9475
39966,47.02
39967,47.045
39968,47.195
39969,47.105
39972,47.57
39973,47.49
39974,47.25
39975,47.6125
39976,47.6075
39979,47.745
39980,47.745
39981,48.1575
39982,48.215
39983,48.085
39986,48.61
39987,48.56
39988,48.555
39989,48.6075
39990,48.115
39993,48.105
39994,47.905
39995,47.8925
39996,47.95
39997,47.89
40000,48.54
40001,48.445
40002,48.8925
40003,48.715
40004,49.005
40007,49.0825
40008,48.9475
40009,48.645
40010,48.7025
40011,48.735
40014,48.1975
40015,48.435
40016,48.5225
40017,48.4525
40018,48.2275
40021,48.165
40022,48.2075
40023,48.42
40024,48.3675
40025,47.935
40028,47.6425
40029,47.755
40030,47.5175
40031,47.67
40032,47.835
40035,47.8125
40036,47.965
40037,48.3425
40038,48.115
40039,48.2475
40042,48.9625
40043,48.795
40045,48.705
40046,48.605
40049,48.615
40050,48.7625
40051,48.9275
40052,48.925
40053,48.6625
40056,48.825
40057,49.025
40058,48.96
40059,48.9125
40060,48.8925
40063,48.665
40064,48.4775
40065,48.51
40066,48.63
40067,48.485
40070,48.745
40071,48.65
40072,48.24
40073,48.1525
40074,48.1425
40078,47.9625
40079,48.0075
40080,47.9725
40081,47.9862
40085,48.11
40087,47.755
40091,47.515
40092,46.8875
40093,46.675
40094,46.3425
40095,46.4175
40098,46.495
40100,46.1425
40101,46.24
40102,46.3075
40106,46.11
40107,46.4862
40108,46.7431
40109,46.52
40112,46.65
40113,46.925
40114,47.365
40115,47.2094
40116,46.975
40120,47.4156
40121,47.0612
40122,47.02
40123,46.815
40126,46.455
40127,46.4875
40128,46.315
40129,46.65
40130,46.3425
40133,46.225
40134,46.3056
40135,46.22
40136,46.6937
40137,46.635
40140,46.485
40141,46.3938
40142,46.215
40143,46.445
40144,46.6387
40147,46.515
40148,46.3175
40149,46.3412
40150,46.0912
40151,46.2925
40154,46.5713
40155,46.68
40156,46.545
40157,46.655
40158,46.545
40161,46.705
40162,46.715
40163,46.6656
40164,46.885
40165,46.725
40168,46.845
40169,46.8131
40170,46.875
40171,46.65
40176,46.6706
40177,46.75
40178,46.525
40179,46.62
40182,46.3062
40183,46.2444
40184,45.8587
40185,45.675
40186,45.7706
40189,45.3313
40190,45.7175
40191,45.6362
40192,45.625
40193,45.775
40196,45.645
40197,45.805
40198,45.93
40199,46.045
40200,46.155
40203,46.14
