Start Date,39448,,
End Date,43347,,
,,,
,NSEADCL Index,,
,#N/A Requesting Data...,,
Dates,PX_LAST,,
27-08-2009,536,,
40053,575,,
40056,578,,
40057,879,,
40058,815,,
40059,627,,
40060,473,,
40063,185,,
40064,733,,
40065,772,,
40066,831,,
40067,835,,
40070,662,,
40071,349,,
40072,530,,
40073,723,,
40074,594,,
40078,540,,
40079,934,,
40080,593,,
40081,515,,
40085,498,,
40086,521,,
40087,823,,
40091,1068,,
40092,852,,
40093,586,,
40094,688,,
40095,898,,
40098,445,,
40100,452,,
40101,617,,
40102,568,,
40106,731,,
40107,784,,
40108,1008,,
40109,602,,
40112,900,,
40113,1188,,
40114,796,,
40115,971,,
40116,756,,
40120,1138,,
40121,315,,
40122,331,,
40123,263,,
40126,273,,
40127,726,,
40128,376,,
40129,776,,
40130,638,,
40133,401,,
40134,669,,
40135,551,,
40136,911,,
40137,553,,
40140,528,,
40141,679,,
40142,729,,
40143,981,,
40144,1085,,
40147,223,,
40148,224,,
40149,583,,
40150,550,,
40151,696,,
40154,800,,
40155,362,,
40156,672,,
40157,522,,
40158,896,,
40161,879,,
40162,1031,,
40163,655,,
40164,502,,
40165,865,,
40168,787,,
40169,453,,
40170,342,,
40171,556,,
40176,431,,
40177,502,,
40178,583,,
40182,292,,
40183,477,,
40184,630,,
40185,592,,
40186,601,,
40189,352,,
40190,946,,
40191,552,,
40192,424,,
40193,708,,
40196,638,,
40197,921,,
40198,822,,
40199,1194,,
40200,1034,,
40203,902,,
40205,1294,,
40206,809,,
40207,578,,
40210,250,,
40211,914,,
40212,388,,
40213,1078,,
40214,1220,,
40217,710,,
40218,593,,
40219,732,,
40220,473,,
40224,870,,
40225,556,,
40226,439,,
40227,874,,
40228,1062,,
40231,954,,
40232,973,,
40233,924,,
40234,758,,
40235,330,,
40239,261,,
40240,306,,
40241,507,,
40242,513,,
40245,490,,
40246,953,,
40247,819,,
40248,896,,
40249,870,,
40252,975,,
40253,409,,
40254,736,,
40255,741,,
40256,663,,
40259,979,,
40260,677,,
40262,752,,
40263,754,,
40266,872,,
40267,517,,
40268,595,,
40269,256,,
40273,241,,
40274,581,,
40275,565,,
40276,870,,
40277,430,,
40280,682,,
40281,765,,
40283,848,,
40284,876,,
40287,1077,,
40288,261,,
40289,398,,
40290,699,,
40291,728,,
40294,626,,
40295,809,,
40296,1146,,
40297,397,,
40298,537,,
40301,902,,
40302,1119,,
40303,863,,
40304,726,,
40305,1217,,
40308,175,,
40309,945,,
40310,800,,
40311,483,,
40312,1068,,
40315,949,,
40316,575,,
40317,1176,,
40318,831,,
40319,1043,,
40322,512,,
40323,1232,,
40324,341,,
40325,504,,
40326,326,,
40329,574,,
40330,968,,
40331,459,,
40332,339,,
40333,688,,
40336,1082,,
40337,894,,
40338,605,,
40339,351,,
40340,609,,
40343,381,,
40344,529,,
40345,637,,
40346,611,,
40347,946,,
40350,368,,
40351,800,,
40352,479,,
40353,622,,
40354,878,,
40357,413,,
40358,951,,
40359,563,,
40360,767,,
40361,702,,
40364,645,,
40365,535,,
40366,812,,
40367,493,,
40368,555,,
40371,604,,
40372,576,,
40373,800,,
40374,776,,
40375,587,,
40378,719,,
40379,822,,
40380,591,,
40381,648,,
40382,878,,
40385,974,,
40386,741,,
40387,892,,
40388,729,,
40389,779,,
40392,494,,
40393,643,,
40394,654,,
40395,700,,
40396,724,,
40399,404,,
40400,878,,
40401,893,,
40402,802,,
40403,629,,
40406,882,,
40407,720,,
40408,556,,
40409,528,,
40410,763,,
40413,551,,
40414,938,,
40415,1130,,
40416,798,,
40417,1079,,
40420,822,,
40421,1031,,
40422,227,,
40423,492,,
40424,546,,
40427,325,,
40428,609,,
40429,640,,
40430,674,,
40434,664,,
40435,998,,
40436,841,,
40437,1018,,
40438,434,,
40441,551,,
40442,1103,,
40443,950,,
40444,795,,
40445,437,,
40448,729,,
40449,808,,
40450,972,,
40451,829,,
40452,359,,
40455,758,,
40456,609,,
40457,512,,
40458,944,,
40459,960,,
40462,464,,
40463,920,,
40464,422,,
40465,968,,
40466,1097,,
40469,909,,
40470,741,,
40471,950,,
40472,400,,
40473,775,,
40476,556,,
40477,831,,
40478,927,,
40479,912,,
40480,1060,,
40483,474,,
40484,736,,
40485,577,,
40486,619,,
40490,799,,
40491,583,,
40492,595,,
40493,964,,
40494,1232,,
40497,902,,
40498,1289,,
40500,1011,,
40501,1225,,
40504,447,,
40505,1163,,
40506,905,,
40507,1193,,
40508,1290,,
40511,693,,
40512,358,,
40513,169,,
40514,466,,
40515,1212,,
40518,856,,
40519,1090,,
40520,1270,,
40521,1373,,
40522,329,,
40525,326,,
40526,350,,
40527,1075,,
40528,625,,
40532,688,,
40533,485,,
40534,655,,
40535,811,,
40536,602,,
40539,730,,
40540,718,,
40541,467,,
40542,608,,
40543,379,,
40546,347,,
40547,790,,
40548,1113,,
40549,1069,,
40550,1317,,
40553,1273,,
40554,964,,
40555,395,,
40556,981,,
40557,1121,,
40560,1117,,
40561,647,,
40562,722,,
40563,721,,
40564,671,,
40567,570,,
40568,928,,
40570,1062,,
40571,1311,,
40574,948,,
40575,1050,,
40576,685,,
40577,443,,
40578,1098,,
40581,954,,
40582,1268,,
40583,1320,,
40584,927,,
40585,242,,
40588,123,,
40589,652,,
40590,557,,
40591,516,,
40592,1177,,
40595,799,,
40596,966,,
40597,903,,
40598,1284,,
40599,834,,
40602,607,,
40603,228,,
40605,764,,
40606,769,,
40609,1119,,
40610,469,,
40611,550,,
40612,837,,
40613,1073,,
40616,634,,
40617,1196,,
40618,425,,
40619,917,,
40620,994,,
40623,897,,
40624,559,,
40625,569,,
40626,564,,
40627,470,,
40630,763,,
40631,892,,
40632,298,,
40633,775,,
40634,294,,
40637,194,,
40638,454,,
40639,565,,
40640,484,,
40641,1108,,
40644,996,,
40646,372,,
40648,912,,
40651,1059,,
40652,775,,
40653,375,,
40654,789,,
40658,824,,
40659,822,,
40660,864,,
40661,995,,
40662,1085,,
40665,1004,,
40666,1248,,
40667,976,,
40668,1091,,
40669,516,,
40672,837,,
40673,760,,
40674,568,,
40675,1028,,
40676,531,,
40679,1019,,
40680,989,,
40681,1014,,
40682,937,,
40683,576,,
40686,1176,,
40687,775,,
40688,930,,
40689,639,,
40690,446,,
40693,557,,
40694,410,,
40695,488,,
40696,976,,
40697,839,,
40700,843,,
40701,586,,
40702,772,,
40703,806,,
40704,914,,
40707,744,,
40708,615,,
40709,953,,
40710,998,,
40711,1084,,
40714,1331,,
40715,852,,
40716,1016,,
40717,863,,
40718,288,,
40721,532,,
40722,655,,
40723,482,,
40724,655,,
40725,563,,
40728,473,,
40729,732,,
40730,716,,
40731,424,,
40732,982,,
40735,875,,
40736,1083,,
40737,385,,
40738,587,,
40739,816,,
40742,682,,
40743,545,,
40744,979,,
40745,942,,
40746,518,,
40749,608,,
40750,1084,,
40751,851,,
40752,1089,,
40753,941,,
40756,891,,
40757,1144,,
40758,933,,
40759,979,,
40760,1323,,
40763,1235,,
40764,1134,,
40765,248,,
40766,813,,
40767,870,,
40771,1143,,
40772,1074,,
40773,1238,,
40774,1127,,
40777,416,,
40778,412,,
40779,844,,
40780,962,,
40781,1273,,
